Finnish,English
Mun ilo terve.,My joy is healthy.
Mun ilo elämässä.,My joy in life.
Ilo jatkuu elämässä.,Joy continues in life.
Ilo jatkuu.,Joy continues.
Monet vartijat vaarassa.,Many guards in danger.
Monet vartijat huolissaan.,Many guards worried.
Vartijat ensin vaarassa.,The guards are first in danger.
Veden voima vaarassa.,The power of water is in danger.
Laittaa veden.,Put the water.
Kippis veden voima!,Cheers to the power of water!
Sanoo kirjoittaa muualle.,He/She says to write elsewhere.
Viedään muualle.,It is taken elsewhere.
Löydä paikkaa muualle.,Find a place elsewhere.
Viedään työtä muualle.,Work is taken elsewhere.
Haluaisitko työtä?,Would you like work?
Haluaisitko auttaa?,Would you like to help?
Parempi tietää.,Better to know.
Haluaisitko tietää?,Would you like to know?
Haluaisitko tietää yhden?,Would you like to know one?
Lopetan työtä.,I stop work.
Parempi tietää kiire.,Better to know about the rush.
Nätti ystävä tietää.,A pretty friend knows.
Sinulla nätti ystävä.,You have a pretty friend.
Sinulla kiire.,You are busy.
Sinulla nätti ystävä?,Do you have a pretty friend?
Nätti ystävä lupasi.,A pretty friend promised.
Nätti ystävä sinulla.,You have a pretty friend.
Sinulla ystävä.,You have a friend.
Sinulla puntaa.,You have pounds.
Odotat yleensä.,You usually wait.
Yleensä odotat.,You usually wait.
Kuolema mahdollista.,Death is possible.
Sinulla yleensä puntaa?,Do you usually have pounds?
Yritys yleensä lupasi.,The company usually promised.
Yritys lupasi.,The company promised.
Yritys lupasi.,The company promised.
Odotat poikaa yleensä.,You usually wait for the boy.
Soitit poikaa.,You called the boy.
Odotat poikaa.,You are waiting for the boy.
Yleensä mietin poikaa.,Usually I think about the boy.
