Finnish,English
tietysti,Of course
tänne,here
mielelläni,with pleasure
ottamaan,to take
hetkinen,Wait a minute
juo,drink
hyväksy,accept
pystyt,you can
isi,daddy
minnekään,nowhere
voit,you can
tytär,daughter
ehdottomasti,absolutely
onnettomuus,accident
voita,win
odotin,I waited
kuinka,how
kysyin,I asked
paikassa,in the place
kuvia,pictures
tyyppi,type
juokse,run
kiitti,thank you
rauhassa,in peace
asun,i live
Odotin,I waited
tri,dr
oppia,learn
käyn,i go
talo,house
Kiitti.,Thanks.
vaikea,difficult,False
vastaus,answer,False
alle,under,False
kasvot,face,False
sinä,you,False
löytyi,was found,False
järkeä,make sense,False
rakasti,loved,False
kutsui,called,False
vakavasti,seriously,False
seuraa,will follow,False
ajat,you drive,False
valo,light,False
kunhan,as long as,False
rakkautta,love,False
viesti,message,False
hengitä,breathe,False
sinulta,from you,False
valitse,choose,False
tänään,today,False
tulet,you will,False
vähän,little,False
perässä,after,False
yrittänyt,tried,False
vessassa,in the toilet,False
onpa,it is,False
osaan,I can
usko,faith
poistaa,remove
nopeasti,quickly
jumala,God
löytäneet,have found
mielenkiintoista,interesting
onko,is
yrittää,try
upeaa,wonderful
pitää,keep
kadulla,in the street
liikettä,movement
työ,work
huutaa,shout
vaikutus,effect
selväksi,to be clear
tekstityksen,subtitles
samaan,to the same
ihmisen,human
paha,bad
näyttäisi,would seem
miltä,how
james,james
tulleet,have come
kantaa,carry
toisiaan,each other
tarkoita,mean
jolloin,when
mun,mine
samaa,the same
tien,road
elämässä,in life
yksinäinen,lonely
ilo,pleasure
terve,healthy
sairaalaan,to the hospital
jatkuu,to be continued
enpä,I don't
monet,many
vartijat,guards
ensin,initially
vaarassa,wrong
laittaa,put
veden,of water
kippis,Cheers
voima,force
kirjoittaa,write
huolissaan,concerned
kuvitella,imagine
ylpeä,proud
suljettu,closed
tekevät,they do
koske,touch
muualle,elsewhere
sanoo,says
auttaa,help
haluaisitko,would you like
löydä,find
viedään,let's take it
paikkaa,place
tarkistaa,check
missään,anywhere
työtä,work
parempi,better
tietää,know
yhden,one
lopetan,I'll stop
sanotte,you say
kiire,hurry
muita,others
nätti,pretty
ystävä,friend
sinulla,you have
puntaa,pounds
kuolivat,died
kuullut,heard
lupasi,promised
odotat,you wait
kuolema,death
päiväys,date
yleensä,usually
mahdollista,possible
yritys,company
soitit,you called
poikaa,boy
mietin,I'm thinking
pitäisi,should
lupasit,you promised
